"15453","27474","75411","81565","83856","83989","85686","86233","88258","90440"
,Returns,Ratio
2012-11-30,0.00632501364533,0.000632501364533
2012-12-31,0.00361605969348,0.000361605969348
2013-01-31,0.0527751520173,0.00527751520173
2013-02-28,0.00557531763737,0.000557531763737
2013-03-31,0.00819483422867,0.000819483422867
2013-04-30,0.00759532305707,0.000759532305707
2013-05-31,0.0173343935103,0.00173343935103
2013-06-30,0.0101327483875,0.00101327483875
2013-07-31,0.000341344135767,3.41344135767e-05
2013-08-31,0.00396642366977,0.000396642366977
2013-09-30,0.00117004843257,0.000117004843257
2013-10-31,0.0134997670267,0.00134997670267
2013-11-30,0.0031055863211,0.00031055863211
2013-12-31,0.0146546357534,0.00146546357534
2014-01-31,0.0212945488567,0.00212945488567
2014-02-28,0.0119189591722,0.00119189591722
2014-03-31,0.00736318679787,0.000736318679787
2014-04-30,0.00564121989147,0.000564121989147
2014-05-31,0.0204764275319,0.00204764275319
2014-06-30,0.00458075334017,0.000458075334017
2014-07-31,0.0045712370492,0.00045712370492
2014-08-31,0.0079756543699,0.00079756543699
2014-09-30,0.00131994312107,0.000131994312107
2014-10-31,0.0161998512674,0.00161998512674
2014-11-30,0.0022405990115,0.00022405990115
2014-12-31,0.045200151845,0.0045200151845
2015-01-31,0.0726647107407,0.00726647107407
2015-02-28,0.0354974070591,0.00354974070591
2015-03-31,0.210528578391,0.0210528578391
2015-04-30,0.00384146253497,0.000384146253497
2015-05-31,0.0159841749871,0.00159841749871
2015-06-30,0.00745204579147,0.000745204579147
2015-07-31,0.00850110654787,0.000850110654787
2015-08-31,0.0332952765484,0.00332952765484
2015-09-30,0.0122669464868,0.00122669464868
2015-10-31,0.00658379497777,0.000658379497777
2015-11-30,0.0278300345898,0.00278300345898
2015-12-31,0.0160915628507,0.00160915628507
"12786","13126","14702","60442","81691","82191","83725","85452","89653","92592"
,Returns,Ratio
2007-01-31,0.00197956673248,0.000197956673248
2007-02-28,0.00228646096829,0.000228646096829
2007-03-31,0.00674163486981,0.000674163486981
2007-04-30,0.00947077286633,0.000947077286633
2007-05-31,0.0118941280133,0.00118941280133
2007-06-30,0.0236263815905,0.00236263815905
2007-07-31,0.00760892650229,0.000760892650229
2007-08-31,0.0142197622486,0.00142197622486
2007-09-30,0.00504308364581,0.000504308364581
2007-10-31,0.0170987510647,0.00170987510647
2007-11-30,0.00332915119827,0.000332915119827
2007-12-31,0.0160002536902,0.00160002536902
2008-01-31,0.0040279302928,0.00040279302928
2008-02-29,0.0153764333535,0.00153764333535
2008-03-31,0.0167936163374,0.00167936163374
2008-04-30,0.00962410678662,0.000962410678662
2008-05-31,0.00758893816257,0.000758893816257
2008-06-30,0.00335043065848,0.000335043065848
2008-07-31,0.0186443245163,0.00186443245163
2008-08-31,0.00465942844114,0.000465942844114
2008-09-30,0.0521429300362,0.00521429300362
2008-10-31,0.0280243363348,0.00280243363348
2008-11-30,0.0462611199846,0.00462611199846
2008-12-31,0.101203368931,0.0101203368931
2009-01-31,0.142322095008,0.0142322095008
2009-02-28,0.0100997576942,0.00100997576942
2009-03-31,0.0199504006432,0.00199504006432
2009-04-30,0.0386510817196,0.00386510817196
2009-05-31,0.0151087937387,0.00151087937387
2009-06-30,0.0135612269318,0.00135612269318
2009-07-31,0.027234081443,0.0027234081443
2009-08-31,0.00652107508027,0.000652107508027
2009-09-30,0.00737174049787,0.000737174049787
2009-10-31,0.021780259955,0.0021780259955
2009-11-30,0.0373374678908,0.00373374678908
2009-12-31,0.0066549240118,0.00066549240118
2010-01-31,0.00629982322,0.000629982322
2010-02-28,0.0350887944258,0.00350887944258
2010-03-31,0.0028087798327,0.00028087798327
2010-04-30,0.025512875912,0.0025512875912
2010-05-31,0.0176173648733,0.00176173648733
2010-06-30,0.0030693482328,0.00030693482328
2010-07-31,0.0020257192962,0.00020257192962
2010-08-31,0.0074890638288,0.00074890638288
2010-09-30,0.010631527067,0.0010631527067
2010-10-31,0.0014549721352,0.00014549721352
2010-11-30,0.0119828770222,0.00119828770222
2010-12-31,0.0010812381203,0.00010812381203
2011-01-31,0.0085671143305,0.00085671143305
2011-02-28,0.0358933300382,0.00358933300382
2011-03-31,0.0040195819183,0.00040195819183
2011-04-30,0.0008664324023,8.664324023e-05
2011-05-31,0.0030188249397,0.00030188249397
2011-06-30,0.0023568631612,0.00023568631612
2011-07-31,0.0112064645351,0.00112064645351
2011-08-31,0.0160906059776,0.00160906059776
2011-09-30,0.0022316674515,0.00022316674515
2011-10-31,0.0274337000652,0.00274337000652
2011-11-30,0.0039827039065,0.00039827039065
2011-12-31,0.0015745350127,0.00015745350127
2012-01-31,0.0054045552936,0.00054045552936
2012-02-29,0.0001693233432,1.693233432e-05
2012-03-31,0.00172112352747,0.000172112352747
2012-04-30,0.00184382004177,0.000184382004177
2012-05-31,0.0032666766723,0.00032666766723
2012-06-30,0.00407696799027,0.000407696799027
2012-07-31,0.00189220950377,0.000189220950377
2012-08-31,0.00172916826417,0.000172916826417
2012-09-30,0.00158951144547,0.000158951144547
2012-10-31,0.00425948483227,0.000425948483227
2012-11-30,0.00145963585387,0.000145963585387
2012-12-31,0.00265426894107,0.000265426894107
2013-01-31,0.00188899397267,0.000188899397267
2013-02-28,0.00215540444537,0.000215540444537
2013-03-31,0.0135747348931,0.00135747348931
2013-04-30,0.0025386531195,0.00025386531195
2013-05-31,0.0009884683335,9.884683335e-05
2013-06-30,0.0021779986595,0.00021779986595
2013-07-31,0.0016925747263,0.00016925747263
2013-08-31,0.0023030458178,0.00023030458178
2013-09-30,0.0048617786327,0.00048617786327
2013-10-31,0.0041296801838,0.00041296801838
2013-11-30,0.0013031165727,0.00013031165727
2013-12-31,0.002968129177,0.0002968129177
2014-01-31,0.0066910103078,0.00066910103078
2014-02-28,0.001955692031,0.0001955692031
2014-03-31,0.0061964208947,0.00061964208947
